Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C17, C2, C3, C4, C5, C7",0402,10,100n,C1525
C10,0402,1,100p,C1546
"C14, C15",0402,2,10p,C32949
"C16, C18, C6",0603,3,4u7,C19666
C8,0402,1,0p8,C327032
C9,0402,1,0p3,C76909
D1,0603,1,LED,C2286
FLT1,DLF162500LT-5028A1,1,DLF162500LT-5028A1,C531364
L1,0402,1,2nH7,C434826
L2,0402,1,10nH,C464435
L3,0805,1,10uH,C98030
Q1,0603,1,Q_Photo_NPN,C146233
"R1, R2",0402,2,10k,C25744
R3,0402,1,1k,C11702
R4,0402,1,470,C25117
RST1,SW_SPST_B3U-1000P,1,B3U-1000P,C231329
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32WB55CGUx,C404023
U2,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,1,SHT4x,C7461862
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32 MHz,C843260
Y2,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768KHz,C528982
