Designator,Mid X,Mid Y,Rotation,Layer
C1,139.15,-92.15,270.0,top
C10,148.858018,-85.5444,90.0,top
C11,149.869678,-85.5444,90.0,top
C12,130.8,-88.6,270.0,top
C13,146.19,-94.66,0.0,top
C14,142.08,-95.83,180.0,top
C15,144.44,-95.83,0.0,top
C16,144.975,-83.725,0.0,top
C17,140.53,-83.09,180.0,top
C18,140.25,-81.79,180.0,top
C2,139.35,-88.15,270.0,top
C3,146.19,-93.61,0.0,top
C4,148.863,-89.0944,270.0,top
C5,140.925,-93.6024,180.0,top
C6,138.438,-93.8694,0.0,top
C7,140.6,-84.19,180.0,top
C8,150.263,-88.1694,270.0,top
C9,153.263,-88.1694,270.0,top
D1,147.8,-98.0,0.0,top
FLT1,155.15,-87.7,0.0,top
L1,151.763,-87.6694,0.0,top
L2,142.89,-83.13,90.0,top
L3,143.95,-81.2,0.0,top
Q1,155.15,-95.75,90.0,top
R1,135.4,-89.7,90.0,top
R2,135.4,-87.5,270.0,top
R3,151.6,-99.0,0.0,top
R4,153.75,-93.6,0.0,top
RST1,133.1,-97.8,270.0,top
U1,144.15,-88.925,180.0,top
U2,132.8,-88.6,180.0,top
Y1,149.6,-82.3,270.0,top
Y2,143.26,-94.34,0.0,top
