Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,139.15,-92.15,-90.0,top
C2,100n,C_0402_1005Metric,139.35,-88.15,-90.0,top
C3,100n,C_0402_1005Metric,146.19,-93.61,0.0,top
C4,100n,C_0402_1005Metric,148.863,-89.0944,-90.0,top
C5,100n,C_0402_1005Metric,140.9412,-93.6024,180.0,top
C6,4u7,C_0603_1608Metric,138.438,-93.8694,0.0,top
C7,100n,C_0402_1005Metric,140.6,-84.19,180.0,top
C8,0p8,C_0402_1005Metric,150.263,-88.1694,-90.0,top
C9,0p3,C_0402_1005Metric,153.263,-88.1694,-90.0,top
C10,100p,C_0402_1005Metric,148.858018,-85.5444,90.0,top
C11,100n,C_0402_1005Metric,149.869678,-85.5444,90.0,top
C12,100n,C_0402_1005Metric,133.95,-86.9,180.0,top
C13,100n,C_0402_1005Metric,146.19,-94.66,0.0,top
C14,10p,C_0402_1005Metric,142.08,-95.83,180.0,top
C15,10p,C_0402_1005Metric,144.44,-95.83,0.0,top
C16,4u7,C_0603_1608Metric,144.975,-83.725,0.0,top
C17,100n,C_0402_1005Metric,140.53,-83.09,180.0,top
C18,4u7,C_0603_1608Metric,140.25,-81.79,180.0,top
D1,LED,LED_0603_1608Metric,144.49,-99.43,0.0,top
FLT1,DLF162500LT-5028A1,DLF162500LT-5028A1,155.02,-87.7,0.0,top
J3,Conn_01x04_Pin,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,144.425,-102.0,180.0,top
L1,2nH7,L_0402_1005Metric,151.763,-87.6694,0.0,top
L2,10nH,L_0402_1005Metric,142.89,-83.13,90.0,top
L3,10uH,L_0805_2012Metric,143.95,-81.2,0.0,top
Q1,Q_Photo_NPN,D_0603_1608Metric,155.15,-95.75,90.0,top
R1,10k,R_0402_1005Metric,135.0,-91.1,90.0,top
R2,10k,R_0402_1005Metric,133.1,-91.1,90.0,top
R3,1k,R_0402_1005Metric,148.54,-99.0,90.0,top
R4,470,R_0402_1005Metric,153.75,-93.6,0.0,top
RST1,B3U-1000P,SW_SPST_B3U-1000P,133.1,-97.6,180.0,top
U1,STM32WB55CGUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,144.15,-88.925,90.0,top
U2,SHTC3,Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm,134.025,-88.7,0.0,top
Y1,32 Mhz,Crystal_SMD_2016-4Pin_2.0x1.6mm,149.6,-82.3,-90.0,top
Y2,Crystal,Crystal_SMD_2012-2Pin_2.0x1.2mm,143.26,-94.34,0.0,top
