Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,LCSC,MP,MF,AVAILABILITY,DESCRIPTION,PRICE
AE1,1,Antenna,Texas_SWRA117D_2.4GHz_Right,,,,tht,Antenna with extra pin for shielding,,,,,,
BT1,1,Battery_Cell,BatteryHolder_MPD_BC2003_1x2032,,,,smt,Single-cell battery,,,,,,
"C1, C11, C12, C13, C17, C2, C3, C4, C5, C7",10,100n,C_0402_1005Metric,,,,smt,Unpolarized capacitor,C1525,,,,,
C10,1,100p,C_0402_1005Metric,,,,smt,Unpolarized capacitor,C1546,,,,,
"C14, C15",2,10p,C_0402_1005Metric,,,,smt,Unpolarized capacitor,C32949,,,,,
"C16, C18, C6",3,4u7,C_0603_1608Metric,,,,smt,Unpolarized capacitor,C19666,,,,,
C8,1,0p8,C_0402_1005Metric,,,,smt,Unpolarized capacitor,C327032,,,,,
C9,1,0p3,C_0402_1005Metric,,,,smt,Unpolarized capacitor,C76909,,,,,
D1,1,LED,LED_0603_1608Metric,,,,smt,,C2286,,,,,
"FID1, FID2, FID3",3,Fiducial,Fiducial_0.5mm_Mask1mm,,,,smt,Fiducial Marker,,,,,,
FLT1,1,DLF162500LT-5028A1,DLF162500LT-5028A1,,,,smt,,C531364,,,,,
"H2, H3, H4",3,MountingHole,MountingHole_2.2mm_M2_DIN965,,,,tht,Mounting Hole without connection,,,,,,
J1,1,Conn_ARM_SWD_TagConnect_TC2030,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,,,,tht,"Tag-Connect ARM Cortex SWD JTAG connector, 6 pin",,,,,,
J3,1,~,PinHeader_1x04_P2.00mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated",,,,,,
L1,1,2nH7,L_0402_1005Metric,,,,smt,Inductor,C434826,,,,,
L2,1,10nH,L_0402_1005Metric,,,,smt,Inductor,C464435,,,,,
L3,1,10uH,L_0805_2012Metric,,,,smt,Inductor,C98030,,,,,
Q1,1,Q_Photo_NPN,D_0603_1608Metric,,,,smt,,C146233,,,,,
"R1, R2",2,10k,R_0402_1005Metric,,,,smt,Resistor,C25744,,,,,
R3,1,1k,R_0402_1005Metric,,,,smt,,C11702,,,,,
R4,1,470,R_0402_1005Metric,,,,smt,,C25117,,,,,
RST1,1,B3U-1000P,SW_SPST_B3U-1000P,None,,,smt,,C231329,B3U-1000P,Omron,Unavailable,Tactile Switch SPST-NO Top Actuated Surface Mount,None
U1,1,STM32WB55CGUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,,,,smt,"STMicroelectronics Arm Cortex-M4 MCU, 1024KB flash, 256KB RAM, 64 MHz, 1.71-3.6V, 30 GPIO, UFQFPN48",C404023,,,,,
U2,1,SHT4x,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,,,,smt,"Digital Humidity and Temperature Sensor, +/-1%RH, +/-0.1degC, I2C, 1.08-3.6V, 16bit, DFN-4",C7461862,,,,,
Y1,1,32 MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,,,,smt,"Four pin crystal, GND on pins 2 and 4",C843260,,,,,
Y2,1,32.768KHz,Crystal_SMD_2012-2Pin_2.0x1.2mm,,,,smt,Two pin crystal,C528982,,,,,
